,address,categories,latitude,longitude,name,zipcode,Zip Code,Neighborhood
46,"1017 6th Ave, New York, NY 10018","{'delis', 'diyfood', 'grocery'}",40.75232,-73.98627,Bryant Market,10018,10018,West Midtown
47,"480 10 Ave, New York, NY 10018","{'grocery', 'convenience'}",40.7561906,-73.997773,37th St Deli Food Market,10018,10018,West Midtown
48,"572 8th Avenue, New York, NY 10018",{'grocery'},40.7547569,-73.9913864,Rainbow Gourmet Deli,10018,10018,West Midtown
49,"455 W 37th St, New York, NY 10018",{'grocery'},40.7562370598316,-73.9970364421606,Jenny's Marketplace,10018,10018,West Midtown
50,"468-470 9th Ave, New York, NY 10018",{'grocery'},40.75468,-73.99497,Sugar Deli Food Center,10018,10018,West Midtown
51,"480 9th Ave, New York, NY 10018",{'grocery'},40.755058,-73.994766,AM-PM Deli Grocery,10018,10018,West Midtown
52,"1095 6th Ave, New York, NY 10018","{'healthmarkets', 'coffee', 'grocery'}",40.75465,-73.98476,Whole Foods Market,10018,10018,West Midtown
53,"543 Ninth Ave, New York, NY 10018",{'grocery'},40.75735,-73.99364,International Grocery & Meat,10018,10018,West Midtown
54,"533 9th Ave, New York, NY 10018",{'grocery'},40.7570152282715,-73.9939956665039,M T Food Store,10018,10018,West Midtown
55,"472 9th Ave Frnt, New York, NY 10018",{'grocery'},40.754764,-73.994903,Stiles Farmers Market,10018,10018,West Midtown
56,"162 W 23rd St, New York, NY 10011","{'markets', 'bakeries', 'grocery'}",40.7437305097859,-73.9951793677063,Garden of Eden Marketplace,10011,10011,Chelsea Greenwich Village
57,"75 9th Ave, New York, NY 10011",{'grocery'},40.7423745776035,-74.0058984480349,The Filling Station,10011,10011,Chelsea Greenwich Village
58,"194 8th Ave, Manhattan, NY 10011",{'grocery'},40.7431335449219,-73.9996566772461,Chelsea Food Mart,10011,10011,Chelsea Greenwich Village
59,"498 6th Ave, New York, NY 10011","{'delis', 'importedfood', 'grocery'}",40.736282,-73.9972,Dainobu,10011,10011,Chelsea Greenwich Village
60,"77 7th Ave, New York, NY 10011","{'grocery', 'catering'}",40.73885,-73.99924,Westside Market,10011,10011,Chelsea Greenwich Village
61,"300 W 22nd St, New York, NY 10011",{'grocery'},40.7446071410021,-73.9992499351501,Foragers Market,10011,10011,Chelsea Greenwich Village
62,"80 7th Ave, New York, NY 10011","{'delis', 'grocery', 'catering'}",40.7395,-73.9992199,"L & M Deli, Catering, and Grocery",10011,10011,Chelsea Greenwich Village
63,"410 Ave Of The Americas, New York, NY 10011","{'gourmet', 'grocery', 'vegan'}",40.733795,-73.999076,Lifethyme,10011,10011,Chelsea Greenwich Village
64,"225 9th Ave, Manhattan, NY 10011",{'grocery'},40.7470075786114,-74.0010188519955,Gristede's Supermarket,10011,10011,Chelsea Greenwich Village
65,"221 8th Ave, New York, NY 10011",{'grocery'},40.7442686,-73.9994192,Gristedes,10011,10011,Chelsea Greenwich Village
66,"4 W 18th St, New York, NY 10011","{'grocery', 'convenience'}",40.7386436462402,-73.9926834106445,Sunac Natural Foods,10011,10011,Chelsea Greenwich Village
67,"519 Ave of the Americas, New York, NY 10011",{'grocery'},40.737155,-73.997322,Century Market,10011,10011,Chelsea Greenwich Village
68,"110 Greenwich Ave, New York, NY 10011","{'tea', 'grocery'}",40.7384003698826,-74.0021178871393,Carry on Tea & Sympathy,10011,10011,Chelsea Greenwich Village
69,"431 West 16th Street, New York, NY 10011","{'butcher', 'grocery'}",40.743072,-74.005722,Western Beef,10011,10011,Chelsea Greenwich Village
70,"215 8th Ave, Manhattan, NY 10011",{'grocery'},40.7440529,-73.9995804,Mozab Grocery,10011,10011,Chelsea Greenwich Village
71,"67 W 14th Street, New York, NY 10011",{'grocery'},40.7369318604469,-73.9957047253847,14th Street Food Market,10011,10011,Chelsea Greenwich Village
72,"115 W 23rd Street Apt 23, New York, NY 10011",{'grocery'},40.743404,-73.993263,Kings Deli & Salad Bar,10011,10011,Chelsea Greenwich Village
73,"12 E 41st St, New York, NY 10017","{'japanese', 'grocery'}",40.7524647,-73.980584,Sunrise Mart,10017,10017,East Midtown
74,"129 E 47th St, New York, NY 10017","{'japanese', 'grocery'}",40.7546157836914,-73.9731292724609,dainobu,10017,10017,East Midtown
75,"240 E 45th St, New York, NY 10017","{'grocery', 'catering'}",40.7519,-73.97142,The Amish Market,10017,10017,East Midtown
76,"Grand Central Terminal, 89 E 42nd St, New York, NY 10017","{'beer_and_wine', 'grocery'}",40.7533509657132,-73.9773763459966,Taste NY,10017,10017,East Midtown
77,"765 2nd Ave, New York, NY 10017",{'grocery'},40.7491038,-73.9729372,765 Produce,10017,10017,East Midtown
78,"839 2nd Ave, New York, NY 10017","{'delis', 'grocery'}",40.751762,-73.971145,45 Deli Market,10017,10017,East Midtown
79,"908 Second Avenue, New York, NY 10017",{'grocery'},40.7537643,-73.9691367,Morton Williams,10017,10017,East Midtown
80,"748 2nd Ave & 40th St, New York, NY 10017",{'grocery'},40.74855,-73.97315,Gristedes,10017,10017,East Midtown
81,"45 Tudor City Pl, New York, NY 10017",{'grocery'},40.749347,-73.969993,Tudor Farm,10017,10017,East Midtown
82,"820 Second Ave, Manhattan, NY 10017",{'grocery'},40.750804901123,-73.9712142944336,Health Harvest Health Food Store,10017,10017,East Midtown
83,"833 2nd Ave, New York, NY 10017",{'grocery'},40.7515295,-73.9711621,Food Expo,10017,10017,East Midtown
84,"748 2nd Ave, New York, NY 10017",{'grocery'},40.74872,-73.97279,Sloan's Supermarket,10017,10017,East Midtown
85,"162 E. 44th St, Manhattan, NY 10017","{'delis', 'grocery'}",40.75212,-73.9739,Hot & Tasty Cafe and Grocery,10017,10017,East Midtown
